"Mass","formula","HC","OC"
305.1758445,"C18H26O4",1.44,0.22
305.212234,"C19H30O3",1.58,0.16
305.2156077,"C16H34O3S1",2.12,0.19
305.2486302,"C20H34O2",1.7,0.1
305.992229,"C11H6O6N3P1",0.55,0.55
306.111214,"C12H22O6N1P1",1.83,0.5
306.96183,"C8H9O5N2S2P1",1.12,0.62
307.024981,"C10H16O3N2S3",1.6,0.3
307.037659,"C14H13O6P1",0.93,0.43
307.082361,"C15H16O7",1.07,0.47
307.097659,"C19H16O4",0.84,0.21
307.1187659,"C16H20O6",1.25,0.38
307.1551504,"C17H24O5",1.41,0.29
307.1915188,"C18H28O4",1.56,0.22
307.194889,"C15H32O4S1",2.13,0.27
307.2278891,"C19H32O3",1.68,0.16
307.2642603,"C20H36O2",1.8,0.1
307.3006759,"C21H40O1",1.9,0.05
308.207851,"C14H31O6N1",2.21,0.43
308.981363,"C13H11O3S2P1",0.85,0.23
309.0768624,"C18H14O5",0.78,0.28
309.113275,"C19H18O4",0.95,0.21
309.1343697,"C16H22O6",1.38,0.38
309.1707577,"C17H26O5",1.53,0.29
309.1741252,"C14H30O5S1",2.14,0.36
309.2071608,"C18H30O4",1.67,0.22
309.2435692,"C19H34O3",1.79,0.16
309.2799485,"C20H38O2",1.9,0.1
309.3163161,"C21H42O1",2,0.05
309.999616,"C8H13O4N3S3",1.62,0.5
310.054279,"C17H13O3N1S1",0.76,0.18
311.0197995,"C16H8O7",0.5,0.44
311.0560706,"C17H12O6",0.71,0.35
311.0562935,"C10H20O3N2S3",2,0.3
311.09253,"C18H16O5",0.89,0.28
311.0992105,"C12H24O5S2",2,0.42
311.113606,"C15H20O7",1.33,0.47
311.1289043,"C19H20O4",1.05,0.21
311.1499669,"C16H24O6",1.5,0.38
311.1686928,"C17H28O3S1",1.65,0.18
311.1863905,"C17H28O5",1.65,0.29
311.2228263,"C18H32O4",1.78,0.22
311.2592288,"C19H36O3",1.89,0.16
311.2955555,"C20H40O2",2,0.1
311.950143,"C7H9O7N1S1P2",1.29,1
312.982148,"C16H10O1S3",0.62,0.06
313.0353889,"C16H10O7",0.62,0.44
313.035549,"C16H10O7",0.62,0.44
313.0717085,"C17H14O6",0.82,0.35
313.071906,"C10H22O3N2S3",2.2,0.3
313.0784425,"C11H22O6S2",2,0.55
313.08706,"C21H14O3",0.67,0.14
313.108323,"C11H26O2N2S3",2.36,0.18
313.129219,"C15H22O7",1.47,0.47
313.14456,"C19H22O4",1.16,0.21
313.1656481,"C16H26O6",1.62,0.38
313.2020579,"C17H30O5",1.76,0.29
313.2384604,"C18H34O4",1.89,0.22
313.2748697,"C19H38O3",2,0.16
314.928376,"C11H8O3S4",0.73,0.27
315.021375,"C9H16O8S2",1.78,0.89
315.0510327,"C16H12O7",0.75,0.44
315.0512578,"C16H12O7",0.75,0.44
315.077533,"C19H12O3N2",0.63,0.16
315.0874775,"C17H16O6",0.94,0.35
315.1449603,"C15H24O7",1.6,0.47
315.1812852,"C16H28O6",1.75,0.38
315.2176992,"C17H32O5",1.88,0.29
315.2541306,"C18H36O4",2,0.22
316.2129686,"C16H31O5N1",1.94,0.31
317.0666961,"C16H14O7",0.88,0.44
317.0669137,"C16H14O7",0.88,0.44
317.0819497,"C20H14O4",0.7,0.2
317.082127,"C13H22O1N2S3",1.69,0.08
317.1394445,"C18H22O5",1.22,0.28
317.175761,"C19H26O4",1.37,0.21
317.1970547,"C16H30O6",1.88,0.38
318.2286495,"C16H33O5N1",2.06,0.31
319.045937,"C15H12O8",0.8,0.53
319.075844,"C15H16O4N2S1",1.07,0.27
319.082324,"C16H16O7",1,0.44
319.088594,"C12H21O4N2S1P1",1.75,0.33
319.118747,"C17H20O6",1.18,0.35
319.134056,"C21H20O3",0.95,0.14
319.1550905,"C18H24O5",1.33,0.28
319.1914846,"C19H28O4",1.47,0.21
319.212661,"C16H32O6",2,0.38
319.2277863,"C20H32O3",1.6,0.15
319.2312678,"C17H36O3S1",2.12,0.18
320.244211,"C16H35O5N1",2.19,0.31
320.979769,"C16H6O2N2S2",0.38,0.12
321.0768515,"C19H14O5",0.74,0.26
321.1344012,"C17H22O6",1.29,0.35
321.1707454,"C18H26O5",1.44,0.28
321.183614,"C15H31O5P1",2.07,0.33
321.2071454,"C19H30O4",1.58,0.21
321.210541,"C16H34O4S1",2.12,0.25
321.2435285,"C20H34O3",1.7,0.15
322.202452,"C18H29O4N1",1.61,0.22
322.234819,"C14H33O5N3",2.36,0.36
322.275131,"C20H37O2N1",1.85,0.1
323.0560443,"C18H12O6",0.67,0.33
323.0925335,"C19H16O5",0.84,0.26
323.1135952,"C16H20O7",1.25,0.44
323.1499996,"C17H24O6",1.41,0.35
323.1864151,"C18H28O5",1.56,0.28
323.199326,"C15H33O5P1",2.2,0.33
323.2228231,"C19H32O4",1.68,0.21
323.2592386,"C20H36O3",1.8,0.15
323.2956079,"C21H40O2",1.9,0.1
323.3319465,"C22H44O1",2,0.05
325.0353849,"C17H10O7",0.59,0.41
325.0356307,"C10H18O4N2S3",1.8,0.4
325.071783,"C18H14O6",0.78,0.33
325.0869915,"C22H14O3",0.64,0.14
325.108204,"C19H18O5",0.95,0.26
325.1292201,"C16H22O7",1.38,0.44
325.1656985,"C17H26O6",1.53,0.35
325.1843128,"C18H30O3S1",1.67,0.17
325.2020801,"C18H30O5",1.67,0.28
325.2384539,"C19H34O4",1.79,0.21
325.27489,"C20H38O3",1.9,0.15
325.3112736,"C21H42O2",2,0.1
326.008049,"C13H14O3N1S2P1",1.08,0.23
326.317605,"C19H41O1N3",2.16,0.05
326.964682,"C13H12O2S4",0.92,0.15
327.0510209,"C17H12O7",0.71,0.41
327.051225,"C17H12O7",0.71,0.41
327.087439,"C18H16O6",0.89,0.33
327.087984,"C10H22O6N2P2",2.2,0.6
327.09499,"C13H28O1S4",2.15,0.08
327.108518,"C15H20O8",1.33,0.53
327.1238317,"C19H20O5",1.05,0.26
327.1450023,"C16H24O7",1.5,0.44
327.160149,"C20H24O4",1.2,0.2
327.1813354,"C17H28O6",1.65,0.35
327.2177927,"C18H32O5",1.78,0.28
327.2329565,"C22H32O2",1.45,0.09
327.247497,"C18H36O1N2S1",2,0.06
327.2541126,"C19H36O4",1.89,0.21
328.177477,"C17H31O1N1S2",1.82,0.06
329.0667063,"C17H14O7",0.82,0.41
329.066884,"C17H14O7",0.82,0.41
329.081849,"C21H14O4",0.67,0.19
329.103074,"C18H18O6",1,0.33
329.103296,"C18H18O6",1,0.33
329.1394605,"C19H22O5",1.16,0.26
329.1606111,"C16H26O7",1.62,0.44
329.1969534,"C17H30O6",1.76,0.35
329.233381,"C18H34O5",1.89,0.28
329.248595,"C22H34O2",1.55,0.09
329.2698167,"C19H38O4",2,0.21
329.996691,"C9H17O4N1S4",1.89,0.44
330.1558952,"C15H25O7N1",1.67,0.47
330.1922023,"C16H29O6N1",1.81,0.38
331.0459273,"C16H12O8",0.75,0.5
331.061212,"C20H12O5",0.6,0.25
331.0823531,"C17H16O7",0.94,0.41
331.082521,"C10H24O4N2S3",2.4,0.4
331.0890152,"C11H24O7S2",2.18,0.64
331.131643,"C15H25O6P1",1.67,0.4
