"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",243.1602025,"C13H24O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",243.1966106,"C14H28O3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",244.046307,"C9H11O7N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",244.0826814,"C10H15O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.0303196,"C9H10O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.0455991,"C13H10O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.0667166,"C10H14O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.0779453,"C9H14O6N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.0819743,"C14H14O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.1030994,"C11H18O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",245.1143278,"C10H18O5N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",245.1183593,"C15H18O3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",245.1394788,"C12H22O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",246.0408309,"C12H9O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",246.0619603,"C9H13O7N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",246.0772025,"C13H13O4N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",247.024841,"C12H8O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",247.04596,"C9H12O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",247.0612438,"C13H12O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",247.0823711,"C10H16O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",247.0976252,"C14H16O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",247.1187571,"C11H20O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",247.134006,"C15H20O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",248.020094,"C11H7O6N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
