"FT_col","ID","W","Mass","formula","presence","Site","Trtmt","Material","max_reps","formulareps","include"
"FT","02","C",343.2490741,"C19H36O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",343.2853978,"C20H40O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",345.2283212,"C18H34O6",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",349.202086,"C20H30O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",351.217734,"C20H32O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",351.3269529,"C23H44O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",353.2698249,"C21H38O4",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",353.3061586,"C22H42O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",353.3425361,"C23H46O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",355.1762978,"C18H28O7",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",355.2127007,"C19H32O6",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",355.2490286,"C20H36O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",355.2854604,"C21H40O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",357.1919348,"C18H30O7",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",357.3011039,"C21H42O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",359.244005,"C19H36O6",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",359.2802738,"C20H40O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",365.1969522,"C20H30O6",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",365.2334182,"C21H34O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",365.3425561,"C24H46O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",367.212633,"C20H32O6",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",367.2489564,"C21H36O5",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",367.2854803,"C22H40O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",367.3217966,"C23H44O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",369.22837,"C20H34O6",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",369.2647318,"C21H38O5",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",369.3373274,"C23H46O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",371.0924908,"C23H16O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",371.2438897,"C20H36O6",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",371.2804065,"C21H40O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",371.3167443,"C22H44O4",1,"TOOL","CON","Organic",8,8,TRUE
