"Mass","formula","HC","OC"
231.0874223,"C10H16O6",1.6,0.6
231.0986666,"C9H16O5N2",1.78,0.56
231.1026824,"C14H16O3",1.14,0.21
231.1238021,"C11H20O5",1.82,0.45
231.1350604,"C10H20O4N2",2,0.4
231.1390965,"C15H20O2",1.33,0.13
231.1601799,"C12H24O4",2,0.33
232.0251679,"C11H7O5N1",0.64,0.45
232.0462918,"C8H11O7N1",1.38,0.88
232.0615285,"C12H11O4N1",0.92,0.33
232.0826938,"C9H15O6N1",1.67,0.67
232.093903,"C8H15O5N3",1.88,0.62
232.1191087,"C10H19O5N1",1.9,0.5
233.009189,"C11H6O6",0.55,0.55
233.020424,"C10H6O5N2",0.6,0.5
233.0303103,"C8H10O8",1.25,1
233.0455756,"C12H10O5",0.83,0.42
233.056799,"C11H10O4N2",0.91,0.36
233.0667162,"C9H14O7",1.56,0.78
233.0779237,"C8H14O6N2",1.75,0.75
233.0819571,"C13H14O4",1.08,0.31
233.1030893,"C10H18O6",1.8,0.6
233.1183643,"C14H18O3",1.29,0.21
233.1394608,"C11H22O5",2,0.45
233.1547097,"C15H22O2",1.47,0.13
234.0044585,"C10H5O6N1",0.5,0.6
234.0408109,"C11H9O5N1",0.82,0.45
234.0619346,"C8H13O7N1",1.62,0.88
234.0772076,"C12H13O4N1",1.08,0.33
234.098259,"C9H17O6N1",1.89,0.67
234.1136001,"C13H17O3N1",1.31,0.23
234.9884192,"C10H4O7",0.4,0.7
235.0248377,"C11H8O6",0.73,0.55
235.0360452,"C10H8O5N2",0.8,0.5
235.0459759,"C8H12O8",1.5,1
235.0612307,"C12H12O5",1,0.42
235.0724382,"C11H12O4N2",1.09,0.36
235.0823605,"C9H16O7",1.78,0.78
235.0976181,"C13H16O4",1.23,0.31
235.1088292,"C12H16O3N2",1.33,0.25
235.118711,"C10H20O6",2,0.6
235.1339849,"C14H20O3",1.43,0.21
235.1703833,"C15H24O2",1.6,0.13
236.0201183,"C10H7O6N1",0.7,0.6
236.023448,"C7H11O6N1S1",1.57,0.86
236.0564876,"C11H11O5N1",1,0.45
236.0776045,"C8H15O7N1",1.88,0.88
236.0928714,"C12H15O4N1",1.25,0.33
237.0041066,"C10H6O7",0.6,0.7
237.026095,"C8H14O4S2",1.75,0.5
