"CoreID","Mass","formula","presence"
"GHG_03_C",542.4149658,"C33H57O1N3S1",1
"GHG_03_C",543.2971101,"C32H48O3S2",1
"GHG_03_C",543.3700201,"C34H56O1S2",1
"GHG_03_C",543.3900955,"C30H56O8",1
"GHG_03_C",543.4054111,"C34H56O5",1
"GHG_03_C",543.4264988,"C31H60O7",1
"GHG_03_C",544.3577837,"C31H51O3N3S1",1
"GHG_03_C",545.3128992,"C32H50O3S2",1
"GHG_03_C",546.38095,"C33H57O1N1S2",1
"GHG_03_C",549.4288951,"C30H63O6P1",1
"GHG_03_C",551.2871755,"C30H48O5S2",1
"GHG_03_C",551.3869807,"C32H57O5P1",1
"GHG_03_C",552.326694,"C32H47O3N3S1",1
"GHG_03_C",553.3026739,"C30H50O5S2",1
"GHG_03_C",553.4119329,"C33H62O2S2",1
"GHG_03_C",553.4472331,"C33H62O6",1
"GHG_03_C",555.3547712,"C31H56O4S2",1
"GHG_03_C",555.3909909,"C32H60O3S2",1
"GHG_03_C",555.4274616,"C33H64O2S2",1
"GHG_03_C",557.334019,"C30H54O5S2",1
"GHG_03_C",557.3490387,"C34H54O2S2",1
"GHG_03_C",557.4067725,"C32H62O3S2",1
"GHG_03_C",559.3268314,"C24H52O10N2S1",1
"GHG_03_C",563.3599385,"C33H56O3S2",1
"GHG_03_C",563.4098065,"C29H60O6N2S1",1
"GHG_03_C",567.281922,"C30H48O6S2",1
"GHG_03_C",567.3182046,"C31H52O5S2",1
"GHG_03_C",567.343918,"C33H48O6N2",1
"GHG_03_C",567.3548642,"C32H56O4S2",1
"GHG_03_C",567.4274034,"C34H64O2S2",1
"GHG_03_C",571.484481,"C36H64O3N2",1
"GHG_03_C",575.3235414,"C33H52O4S2",1
"GHG_03_C",575.4099859,"C30H60O6N2S1",1
"GHG_03_C",576.4300361,"C33H60O3N3P1",1
"GHG_03_C",577.3753913,"C34H58O3S2",1
"GHG_03_C",579.4202598,"C33H60O4N2S1",1
"GHG_03_C",581.4357211,"C33H62O4N2S1",1
"GHG_03_C",581.4432311,"C35H66O2S2",1
"GHG_03_C",583.48445,"C37H64O3N2",1
"GHG_03_C",585.4016626,"C33H62O4S2",1
"GHG_03_C",586.4698524,"C34H69O2N1S2",1
"GHG_03_C",589.462626,"C40H62O3",1
"GHG_03_C",590.490124,"C35H65O4N3",1
