"V1","V2"
15.56,834
15.57,825
15.58,861
15.59,840
15.6,855
15.61,816
15.62,870
15.63,903
15.64,885
15.65,893
15.66,844
15.67,863
15.68,863
15.69,865
15.7,875
15.71,836
15.72,881
15.73,843
15.74,866
15.75,859
15.76,921
15.77,841
15.78,829
15.79,812
15.8,839
15.81,872
15.82,887
15.83,855
15.84,883
15.85,864
15.86,813
15.87,849
15.88,853
15.89,809
15.9,887
15.91,848
15.92,888
15.93,820
15.94,828
15.95,841
15.96,813
15.97,842
15.98,840
15.99,857
16,898
16.01,855
16.02,847
16.03,845
16.04,804
16.05,852
16.06,856
16.07,799
16.08,812
16.09,863
16.1,875
16.11,845
16.12,865
16.13,820
16.14,882
16.15,844
16.16,858
16.17,811
16.18,889
16.19,861
16.2,892
16.21,888
16.22,849
16.23,867
16.24,881
16.25,870
16.26,865
16.27,905
16.28,896
16.29,848
16.3,856
16.31,882
16.32,847
16.33,858
16.34,837
16.35,842
16.36,915
16.37,818
16.38,807
16.39,817
16.4,847
16.41,863
16.42,889
16.43,892
16.44,861
16.45,874
16.46,887
16.47,884
16.48,886
16.49,882
16.5,864
16.51,860
16.52,843
16.53,891
16.54,858
16.55,863
16.56,898
16.57,880
16.58,876
16.59,872
16.6,897
16.61,900
16.62,848
16.63,855
16.64,941
16.65,893
16.66,902
16.67,914
16.68,891
16.69,844
16.7,896
16.71,894
16.72,854
16.73,881
16.74,912
16.75,945
16.76,892
16.77,896
16.78,903
16.79,934
16.8,841
16.81,869
16.82,951
16.83,899
16.84,913
16.85,890
16.86,902
16.87,895
16.88,876
16.89,890
16.9,885
16.91,814
16.92,879
16.93,953
16.94,883
16.95,928
16.96,927
16.97,876
16.98,872
16.99,876
17,899
17.01,892
17.02,840
17.03,855
17.04,874
17.05,873
17.06,893
17.07,855
17.08,859
17.09,921
17.1,874
17.11,933
17.12,941
17.13,921
17.14,871
17.15,865
17.16,891
17.17,872
17.18,906
17.19,935
17.2,876
17.21,971
17.22,909
17.23,897
17.24,909
17.25,914
17.26,929
17.27,925
17.28,921
17.29,933
17.3,959
17.31,979
17.32,915
17.33,934
17.34,907
17.35,875
17.36,940
17.37,907
17.38,896
17.39,918
17.4,849
17.41,945
17.42,952
17.43,989
17.44,960
17.45,989
17.46,919
17.47,920
17.48,933
17.49,947
17.5,944
17.51,972
17.52,998
17.53,972
17.54,949
17.55,942
17.56,984
17.57,937
17.58,901
17.59,934
17.6,967
17.61,966
17.62,911
17.63,957
17.64,981
17.65,975
17.66,944
17.67,993
17.68,984
17.69,1050
17.7,1048
17.71,1047
17.72,1059
17.73,1068
17.74,1088
17.75,1184
17.76,1143
17.77,1237
17.78,1257
17.79,1281
17.8,1274
17.81,1219
17.82,1272
17.83,1288
17.84,1216
17.85,1175
17.86,1178
17.87,1088
17.88,1091
17.89,1143
17.9,1035
17.91,1012
17.92,1076
17.93,994
17.94,1021
17.95,1030
17.96,1022
17.97,1043
17.98,1011
17.99,1004
18,1056
18.01,1063
18.02,1023
18.03,1015
18.04,1015
18.05,1001
18.06,1010
18.07,1044
18.08,1035
18.09,1014
18.1,1042
18.11,1003
18.12,1030
18.13,1043
18.14,1033
18.15,1085
18.16,1048
18.17,1063
18.18,988
18.19,965
18.2,952
18.21,1020
18.22,993
18.23,1022
18.24,1081
18.25,1029
18.26,991
18.27,988
18.28,1020
18.29,1028
18.3,1013
18.31,1024
18.32,988
18.33,998
18.34,996
18.35,989
18.36,1017
18.37,1032
18.38,986
18.39,1056
18.4,1083
18.41,1010
18.42,1047
18.43,1037
18.44,1040
18.45,984
18.46,981
18.47,1035
18.48,1040
18.49,965
18.5,1017
18.51,1023
18.52,1051
18.53,1026
18.54,1014
18.55,985
18.56,1035
18.57,1041
18.58,1037
18.59,986
18.6,1008
18.61,972
18.62,992
18.63,1017
18.64,1012
18.65,1001
18.66,1046
18.67,1020
18.68,1012
18.69,1034
18.7,987
18.71,1056
18.72,985
18.73,1052
18.74,976
18.75,1018
18.76,1074
18.77,1030
18.78,986
18.79,1023
18.8,1012
18.81,1026
18.82,1080
18.83,1046
18.84,1052
18.85,1078
18.86,1063
18.87,1053
