"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core","mag.vec","dur.vec"
"1504","HEAL_506_003","HEAL",3,506,-0.46,"Keep",0,"winter",1,"HEAL",506,3,"1.5","4"
"1505","HEAL_507_003","HEAL",3,507,-0.66,"Keep",0,"winter",1,"HEAL",507,3,"1.5","4"
"1506","HEAL_508_003","HEAL",3,508,-0.96,"Keep",0,"winter",1,"HEAL",508,3,"1.5","4"
"1507","HEAL_509_003","HEAL",3,509,-1.26,"Keep",0,"winter",1,"HEAL",509,3,"1.5","4"
"1508","HEAL_501_004","HEAL",4,501,-0.02,"Keep",0,"winter",1,"HEAL",501,4,"1.5","4"
"1509","HEAL_502_004","HEAL",4,502,-0.06,"Keep",0,"winter",1,"HEAL",502,4,"1.5","4"
"1510","HEAL_503_004","HEAL",4,503,-0.16,"Keep",0,"winter",1,"HEAL",503,4,"1.5","4"
"1511","HEAL_504_004","HEAL",4,504,-0.26,"Keep",0,"winter",1,"HEAL",504,4,"1.5","4"
"1512","HEAL_505_004","HEAL",4,505,-0.36,"Keep",0,"winter",1,"HEAL",505,4,"1.5","4"
"1513","HEAL_506_004","HEAL",4,506,-0.46,"Exclude",NA,"winter",1,"HEAL",506,4,"1.5","4"
"1514","HEAL_507_004","HEAL",4,507,-0.66,"Keep",0,"winter",1,"HEAL",507,4,"1.5","4"
"1515","HEAL_508_004","HEAL",4,508,-0.96,"Keep",0,"winter",1,"HEAL",508,4,"1.5","4"
"1516","HEAL_509_004","HEAL",4,509,-1.66,"Keep",0,"winter",1,"HEAL",509,4,"1.5","4"
"1517","HEAL_501_005","HEAL",5,501,-0.02,"Keep",0,"winter",1,"HEAL",501,5,"1.5","4"
"1518","HEAL_502_005","HEAL",5,502,-0.06,"Keep",0,"winter",1,"HEAL",502,5,"1.5","4"
"1519","HEAL_503_005","HEAL",5,503,-0.16,"Keep",0,"winter",1,"HEAL",503,5,"1.5","4"
"1520","HEAL_504_005","HEAL",5,504,-0.26,"Keep",0,"winter",1,"HEAL",504,5,"1.5","4"
"1521","HEAL_505_005","HEAL",5,505,-0.36,"Keep",0,"winter",1,"HEAL",505,5,"1.5","4"
"1522","HEAL_506_005","HEAL",5,506,-0.46,"Keep",0,"winter",1,"HEAL",506,5,"1.5","4"
"1523","HEAL_507_005","HEAL",5,507,-0.66,"Keep",0,"winter",1,"HEAL",507,5,"1.5","4"
"1524","HEAL_508_005","HEAL",5,508,-0.96,"Keep",0,"winter",1,"HEAL",508,5,"1.5","4"
"1525","HEAL_509_005","HEAL",5,509,-1.26,"Keep",0,"winter",1,"HEAL",509,5,"1.5","4"
"1526","BARR_501_001","BARR",1,501,-0.02,"Exclude",NA,"winter",2,"BARR",501,1,"1.5","4"
"1527","BARR_502_001","BARR",1,502,-0.06,"Exclude",NA,"winter",2,"BARR",502,1,"1.5","4"
"1528","BARR_504_001","BARR",1,504,-0.26,"Exclude",NA,"winter",2,"BARR",504,1,"1.5","4"
"1529","BARR_505_001","BARR",1,505,-0.36,"Exclude",NA,"winter",2,"BARR",505,1,"1.5","4"
"1530","BARR_506_001","BARR",1,506,-0.56,"Exclude",NA,"winter",2,"BARR",506,1,"1.5","4"
"1531","BARR_507_001","BARR",1,507,-0.86,"Exclude",NA,"winter",2,"BARR",507,1,"1.5","4"
"1532","BARR_508_001","BARR",1,508,-1.36,"Exclude",NA,"winter",2,"BARR",508,1,"1.5","4"
"1533","BARR_509_001","BARR",1,509,-1.76,"Exclude",NA,"winter",2,"BARR",509,1,"1.5","4"
"1534","BARR_501_002","BARR",2,501,-0.02,"Exclude",NA,"winter",2,"BARR",501,2,"1.5","4"
"1535","BARR_502_002","BARR",2,502,-0.06,"Exclude",NA,"winter",2,"BARR",502,2,"1.5","4"
"1536","BARR_503_002","BARR",2,503,-0.16,"Exclude",NA,"winter",2,"BARR",503,2,"1.5","4"
"1537","BARR_504_002","BARR",2,504,-0.26,"Exclude",NA,"winter",2,"BARR",504,2,"1.5","4"
"1538","BARR_505_002","BARR",2,505,-0.36,"Exclude",NA,"winter",2,"BARR",505,2,"1.5","4"
"1539","BARR_506_002","BARR",2,506,-0.56,"Exclude",NA,"winter",2,"BARR",506,2,"1.5","4"
"1540","BARR_507_002","BARR",2,507,-0.86,"Exclude",NA,"winter",2,"BARR",507,2,"1.5","4"
"1541","BARR_508_002","BARR",2,508,-1.36,"Exclude",NA,"winter",2,"BARR",508,2,"1.5","4"
"1542","BARR_509_002","BARR",2,509,-2.26,"Exclude",NA,"winter",2,"BARR",509,2,"1.5","4"
"1543","BARR_501_003","BARR",3,501,-0.01,"Exclude",NA,"winter",2,"BARR",501,3,"1.5","4"
"1544","BARR_502_003","BARR",3,502,-0.05,"Exclude",NA,"winter",2,"BARR",502,3,"1.5","4"
"1545","BARR_503_003","BARR",3,503,-0.15,"Exclude",NA,"winter",2,"BARR",503,3,"1.5","4"
"1546","BARR_504_003","BARR",3,504,-0.25,"Exclude",NA,"winter",2,"BARR",504,3,"1.5","4"
"1547","BARR_505_003","BARR",3,505,-0.35,"Exclude",NA,"winter",2,"BARR",505,3,"1.5","4"
"1548","BARR_506_003","BARR",3,506,-0.55,"Exclude",NA,"winter",2,"BARR",506,3,"1.5","4"
"1549","BARR_507_003","BARR",3,507,-0.85,"Exclude",NA,"winter",2,"BARR",507,3,"1.5","4"
